id;name_audit;audit_status;start_date;ente_id
4dd54f6c-b08f-4d98-a154-4af7b0b85487;SSL hardware Ireland;FINALIZADA;2022-04-05T01:02:09;efdfa9f2-fdd5-4925-9a54-666398f7e2bb
5a279add-04ca-4ded-910a-7b45b8e92aaa;Practical networks;FINALIZADA;2022-04-05T17:38:09;9527ddc3-4963-446a-94d5-cd435af4e7c5
9c4b1e65-b3ec-4859-96eb-8deb753e76ed;orange JSON;FINALIZADA;2022-04-05T08:05:08;c9c4a9ee-e3a8-481e-b0f9-6b76ffa9ea88
aa488e7d-4d20-40ac-93b1-cc489a494c47;Re-contextualized;PROCESO;2022-04-05T19:49:23;6d4903a5-ce49-4a22-8b6b-0e3239ac0374
cf5911bc-0241-492f-a6c8-0649f30b52ab;zero Producer Research;PROCESO;2022-04-05T00:58:26;beeacec7-e5a7-47f0-8d07-084d081ca681
3ed6af24-cf46-4ea7-9833-32f16217c59c;Ball;FINALIZADA;2022-04-05T05:44:19;f52b335b-4fb3-4f1b-9680-f52e20f592ec
cc79fffd-82d7-4b3a-9a76-c91ad775d4fb;copying;FINALIZADA;2022-04-05T07:00:14;e361d0b8-d424-4681-9d35-d88b7be81f20
e3fb495e-166e-4217-9ea6-5f290cf34d34;Bahamas Chief Cambridgeshire;PROCESO;2022-04-05T17:51:10;66049749-21c7-456a-b04c-6ca44f299a77
5719b2af-be31-44d9-b8db-d9d8a5f5072a;open-source Identity;PROCESO;2022-04-05T16:31:05;2f3b324c-132e-4458-aa4d-3eb7bb452b29
d07f5c33-ca21-45e1-be6e-ea4cd1cd9889;monitor West;FINALIZADA;2022-04-05T02:35:20;c3e6c037-9af8-4ccc-831a-f2dd2286c619
