id;name;activated
efdfa9f2-fdd5-4925-9a54-666398f7e2bb;Uzbekistan;false
9527ddc3-4963-446a-94d5-cd435af4e7c5;Tactics parse Investment;false
c9c4a9ee-e3a8-481e-b0f9-6b76ffa9ea88;Progressive Brazil dynamic;false
6d4903a5-ce49-4a22-8b6b-0e3239ac0374;Games deposit;true
beeacec7-e5a7-47f0-8d07-084d081ca681;withdrawal;true
f52b335b-4fb3-4f1b-9680-f52e20f592ec;Island interface;true
e361d0b8-d424-4681-9d35-d88b7be81f20;Verde;false
66049749-21c7-456a-b04c-6ca44f299a77;Credit Pizza;true
2f3b324c-132e-4458-aa4d-3eb7bb452b29;Pants;true
c3e6c037-9af8-4ccc-831a-f2dd2286c619;Chicken;false
